ITEM,NCM/SH,DESCRIÇÃO COMERCIAL
1,8414,"Sistema modular de compressão de CO₂ (em skid), com oito compressores, oito trocadores tipo
PCHE e oito vasos separadores de líquido."
2,8414,"Sistema modular de compressão de gás de exportação (em skid), com seis compressores, seis
trocadores tipo PCHE e seis vasos separadores de líquido."
3,8414,"Sistema modular de compressão de gás principal (em skid), com três compressores, três
trocadores tipo PCHE, seis vasos separadores, unidade VRU, trocador casco e tubo e vaso de
segurança."
4,8414,"Sistema modular de compressão de gás de injeção (em skid), com quatro compressores, oito
trocadores tipo PCHE, dois vasos separadores, tanque de óleo diesel e bomba alternativa."
5,8421,Sistema modular de redução de sulfato da água do mar por membranas.
6,8901,Navio “aliviador” — petroleiro para transbordo e transporte (com DP).
7,8901,Embarcação de apoio offshore para transporte de cargas e suprimentos (área de convés ampla).
8,8905,"Unidade flutuante de produção, armazenamento e transferência FPSO (casco incluído)."
9,8905,Unidade (plataforma) flutuante de perfuração/produção/exploração (não propelida; casco incluído).
10,8905,Navio-sonda (drillship) para perfuração offshore (monocasco).
11,8905,Navio lançador de dutos PLSV (lançamento de linhas flexíveis/rigidas).
12,8905,Navio de pesquisa sísmica (autopropelido).
13,8905,Navio lançador de cabos cable layer (lançamento/reparo submarino).
14,8905,Navio de intervenção de poços WIV.
15,8905,Navio de suporte de mergulho DSV (com sino e câmaras).
16,8905,Navio-guindaste (crane vessel) para içamento de cargas.
17,8905,Navio PLSV — apoio a lançamento/instalação de dutos submarinos.
18,8905,Unidade flutuante de armazenamento e transferência FSO.
19,7308,Estrutura modular de aço tipo jacket (para plataforma fixa).
