ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
,,"RECUPERACAO DE GÁS); CONDENSADORES PARA
MÁQUINAS A VAPOR",,
69,8405,"GERADORES DE GÁS DE AR (GÁS POBRE) OU DE GÁS
DE ÁGUA, COM OU SEM DEPURADORES; GERADORES
DE ACETILENO E GERADORES SEMELHANTES DE
GÁS, OPERADOS A ÁGUA, COM OU SEM
DEPURADORES",10,10%
70,8406,TURBINAS A VAPOR,10,10%
71,8407,"MOTORES DE PISTÃO, ALTERNATIVO OU ROTATIVO,
DE IGNIÇÃO POR CENTELHA (FAÍSCA) (MOTORES DE
EXPLOSÃO)",10,10%
72,8408,"MOTORES DE PISTÃO, DE IGNIÇÃO POR
COMPRESSÃO (MOTORES DIESEL OU SEMI-DIESEL)",10,10%
73,8410,"TURBINAS HIDRÁULICAS, RODAS HIDRÁULICAS, E
SEUS REGULADORES",10,10%
74,8411,"TURBORREATORES, TURBOPROPULSORES E
OUTRAS TURBINAS A GÁS",10,10%
75,8412,OUTROS MOTORES E MÁQUINAS MOTRIZES,10,10%
76,8413,"BOMBAS PARA LÍQUIDOS, MESMO COM DISPOSITIVO
MEDIDOR; ELEVADORES DE LÍQUIDOS",10,10%
77,8414,"BOMBAS DE AR OU DE VÁCUO, COMPRESSORES DE
AR OU DE OUTROS GASES E VENTILADORES; COIFAS
ASPIRANTES (EXAUSTORES*) PARA EXTRAÇÃO OU
RECICLAGEM, COM VENTILADOR INCORPORADO,
MESMO FILTRANTES",10,10%
78,8415,"MÁQUINAS E APARELHOS DE AR-CONDICIONADO
CONTENDO UM VENTILADOR MOTORIZADO E
DISPOSITIVOS PRÓPRIOS PARA MODIFICAR A
TEMPERATURA E A UMIDADE, INCLUÍDOS AS
MÁQUINAS E APARELHOS EM QUE A UMIDADE NÃO
SEJA REGULÁVEL SEPARADAMENTE",10,10%
79,8416,"QUEIMADORES PARA ALIMENTAÇÃO DE FORNALHAS
DE COMBUSTÍVEIS LÍQUIDOS, COMBUSTÍVEIS
SÓLIDOS PULVERIZADOS OU DE GÁS; FORNALHAS
AUTOMÁTICAS, INCLUÍDAS AS ANTEFORNALHAS,
GRELHAS MECÂNICAS, DESCARREGADORES
MECÂNICOS DE CINZAS E DISPOSITIVOS
SEMELHANTES",10,10%
80,8417,"FORNOS INDUSTRIAIS OU DE LABORATÓRIO,
INCLUÍDOS OS INCINERADORES, NÃO ELÉTRICOS Ver
Nota (1)",10,10%
81,8418,"REFRIGERADORES, CONGELADORES (""FREEZERS"") E
OUTROS MATERIAIS, MÁQUINAS E APARELHOS PARA
A PRODUÇÃO DE FRIO, COM EQUIPAMENTO
ELÉTRICO OU OUTRO; BOMBAS DE CALOR,
EXCLUÍDAS AS MÁQUINAS E APARELHOS DE AR-
CONDICIONADO DA POSIÇÃO 8415",10,10%
82,8419,"APARELHOS E DISPOSITIVOS, MESMO AQUECIDOS
ELETRICAMENTE, PARA TRATAMENTO DE MATÉRIAS
POR MEIO DE OPERAÇÕES QUE IMPLIQUEM
MUDANÇA DE TEMPERATURA, TAIS COMO
AQUECIMENTO, COZIMENTO, TORREFAÇÃO,
DESTILAÇÃO, RETIFICAÇÃO, ESTERILIZAÇÃO,
PASTEURIZAÇÃO, ESTUFAGEM, SECAGEM,
EVAPORAÇÃO, VAPORIZAÇÃO, CONDENSAÇÃO OU
ARREFECIMENTO, EXCETO OS DE USO DOMÉSTICO;
AQUECEDORES DE ÁGUA NÃO ELÉTRICOS, DE
AQUECIMENTO INSTANTÂNEO OU DE ACUMULAÇÃO",10,10%
83,8420,"CALANDRAS E LAMINADORES, EXCETO OS
DESTINADOS AO TRATAMENTO DE METAIS OU VIDRO,
E SEUS CILINDROS",10,10%
84,8421,"CENTRIFUGADORES, INCLUÍDOS OS SECADORES
CENTRÍFUGOS; APARELHOS PARA FILTRAR OU
DEPURAR LÍQUIDOS OU GASES",10,10%
