ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
139,8472,"OUTRAS MÁQUINAS E APARELHOS DE ESCRITÓRIO
[POR EXEMPLO: DUPLICADORES HECTOGRÁFICOS
OU A ESTÊNCIL, MÁQUINAS PARA IMPRIMIR
ENDEREÇOS, DISTRIBUIDORES AUTOMÁTICOS DE
PAPEL-MOEDA, MÁQUINAS PARA SELECIONAR,
CONTAR OU EMPACOTAR MOEDAS, APONTADORES
(AFIADORES) MECÂNICOS DE LÁPIS, PERFURADORES
OU GRAMPEADORES]",10,10%
140,8474,"MÁQUINAS E APARELHOS PARA SELECIONAR,
PENEIRAR, SEPARAR, LAVAR, ESMAGAR, MOER,
MISTURAR OU AMASSAR TERRAS, PEDRAS,
MINÉRIOS OU OUTRAS SUBSTÂNCIAS MINERAIS
SÓLIDAS (INCLUÍDOS OS PÓS E PASTAS); MÁQUINAS
PARA AGLOMERAR OU MOLDAR COMBUSTÍVEIS
MINERAIS SÓLIDOS, PASTAS CERÂMICAS, CIMENTO,
GESSO OU OUTRAS MATÉRIAS MINERAIS EM PÓ OU
EM PASTA; MÁQUINAS PARA FAZER MOLDES DE AREIA
PARA FUNDIÇÃO",5,20%
141,8475,"MÁQUINAS PARA MONTAGEM DE LÂMPADAS, TUBOS
OU VÁLVULAS, ELÉTRICOS OU ELETRÔNICOS, OU DE
LÂMPADAS DE LUZ RELÂMPAGO (""FLASH""), QUE
TENHAM INVÓLUCRO DE VIDRO; MÁQUINAS PARA
FABRICAÇÃO OU TRABALHO A QUENTE DO VIDRO OU
DAS SUAS OBRAS",10,10%
142,8476,"MÁQUINAS AUTOMÁTICAS DE VENDA DE PRODUTOS
(POR EXEMPLO: SELOS, CIGARROS, ALIMENTOS OU
BEBIDAS), INCLUÍDAS AS MÁQUINAS DE TROCAR
DINHEIRO",10,10%
143,8477,"MÁQUINAS E APARELHOS PARA TRABALHAR
BORRACHA OU PLÁSTICOS OU PARA FABRICAÇÃO DE
PRODUTOS DESSAS MATÉRIAS, NÃO ESPECIFICADOS
NEM COMPREENDIDOS EM OUTRAS POSIÇÕES
DESTE CAPÍTULO",10,10%
144,8478,"MÁQUINAS E APARELHOS PARA PREPARAR OU
TRANSFORMAR FUMO (TABACO), NÃO
ESPECIFICADOS NEM COMPREENDIDOS EM OUTRAS
POSIÇÕES DESTE CAPÍTULO",10,10%
145,8479,"MÁQUINAS E APARELHOS MECÂNICOS COM FUNÇÃO
PRÓPRIA, NÃO ESPECIFICADOS NEM
COMPREENDIDOS EM OUTRAS POSIÇÕES DESTE
CAPÍTULO",,
146,8479.10,"-Máquinas e aparelhos para obras públicas, construção civil
ou trabalhos semelhantes",4,25%
147,8479.20,"-Máquinas e aparelhos para extração ou preparação de
óleos ou gorduras vegetais fixos ou de óleos ou gorduras
animais",10,10%
148,8479.30,"-Prensas para fabricação de painéis de partículas, de fibras
de madeira ou de outras matérias lenhosas, e outras
máquinas e aparelhos para tratamento de madeira ou de
cortiça",10,10%
149,8479.40,-Máquinas para fabricação de cordas ou cabos,10,10%
150,8479.50,"-Robôs industriais, não especificados nem compreendidos
em outras posições",10,10%
151,8479.60,-Aparelhos de evaporação para arrefecimento do ar,10,10%
152,8479.8,-Outras máquinas e aparelhos,,
153,8479.81,"--Para tratamento de metais, incluídas as bobinadoras para
enrolamentos elétricos",10,10%
154,8479.82,"--Para misturar, amassar, esmagar, moer, separar, peneirar,
homogeneizar, emulsionar ou agitar",10,10%
155,8479.89,--Outros,10,10%
