ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
,,CONSERVAÇÃO DE PRODUTOS DA PESCA,,
210,8903,"IATES E OUTROS BARCOS E EMBARCAÇÕES DE
RECREIO OU DE ESPORTE; BARCOS A REMOS E
CANOAS",,
211,8903.10,-Barcos infláveis,5,20%
212,8903.9,-Outros,10,10%
213,8904,"REBOCADORES E BARCOS CONCEBIDOS PARA
EMPURRAR OUTRAS EMBARCAÇÕES",20,5%
214,8905,"BARCOS-FARÓIS, BARCOS-BOMBAS, DRAGAS,
GUINDASTES FLUTUANTES E OUTRAS
EMBARCAÇÕES EM QUE A NAVEGAÇÃO É ACESSÓRIA
DA FUNÇÃO PRINCIPAL; DOCAS OU DIQUES
FLUTUANTES; PLATAFORMAS DE PERFURAÇÃO OU
DE EXPLORAÇÃO, FLUTUANTES OU SUBMERSÍVEIS",20,%
215,8906,"OUTRAS EMBARCAÇÕES, INCLUÍDOS OS NAVIOS DE
GUERRA E OS BARCOS SALVA-VIDAS, EXCETO OS
BARCOS A REMO",20,5%
216,8907,"OUTRAS ESTRUTURAS FLUTUANTES (POR EXEMPLO:
BALSAS, RESERVATÓRIOS, CAIXÕES, BÓIAS DE
AMARRAÇÃO, BÓIAS DE SINALIZAÇÃO E
SEMELHANTES)",,
217,8907.10,-Balsas infláveis,5,20%
218,8907.90,-Outras,20,5%
219,Capítulo 90,"INSTRUMENTOS E APARELHOS DE ÓPTICA,
FOTOGRAFIA OU CINEMATOGRAFIA, MEDIDA,
CONTROLE OU DE PRECISÃO; INSTRUMENTOS E
APARELHOS MÉDICO-CIRÚRGICOS",,
220,9005,"BINÓCULOS, LUNETAS, INCLUÍDAS AS
ASTRONÔMICAS, TELESCÓPIOS ÓPTICOS, E SUAS
ARMAÇÕES; OUTROS INSTRUMENTOS DE
ASTRONOMIA E SUAS ARMAÇÕES, EXCETO OS
APARELHOS DE RADIOASTRONOMIA",10,10%
221,9006,"APARELHOS FOTOGRÁFICOS; APARELHOS E
DISPOSITIVOS, EXCLUÍDAS AS LÂMPADAS E TUBOS,
DE LUZ-RELÂMPAGO (""FLASH""), PARA FOTOGRAFIA",10,10%
222,9007,"CÂMERAS E PROJETORES, CINEMATOGRÁFICOS,
MESMO COM APARELHOS DE GRAVAÇÃO OU DE
REPRODUÇÃO DE SOM INCORPORADOS",10,10%
223,9008,"APARELHOS DE PROJEÇÃO FIXA; APARELHOS
FOTOGRÁFICOS, DE AMPLIAÇÃO OU DE REDUÇÃO",10,10%
224,9009,"APARELHOS DE FOTOCÓPIA, POR SISTEMA ÓPTICO
OU POR CONTATO, E APARELHOS DE TERMOCÓPIA",10,10%
225,9010,"APARELHOS DOS TIPOS USADOS NOS
LABORATÓRIOS FOTOGRÁFICOS OU
CINEMATOGRÁFICOS (INCLUÍDOS OS APARELHOS
PARA PROJEÇÃO OU EXECUÇÃO DE TRAÇADOS DE
CIRCUITOS SOBRE SUPERFÍCIES SENSIBILIZADAS DE
MATERIAIS SEMICONDUTORES); NEGATOSCÓPIOS;
TELAS PARA PROJEÇÃO",10,10%
226,9011,"MICROSCÓPIOS ÓPTICOS, INCLUÍDOS OS
MICROSCÓPIOS PARA FOTOMICROGRAFIA,
CINEFOTOMICROGRAFIA OU MICROPROJEÇÃO",10,10%
227,9012,"MICROSCÓPIOS (EXCETO ÓPTICOS) E
DIFRATÓGRAFOS",10,10%
228,9014,"BÚSSOLAS, INCLUÍDAS AS AGULHAS DE MAREAR,
OUTROS INSTRUMENTOS E APARELHOS DE
NAVEGAÇÃO",10,10%
229,9015,"INSTRUMENTOS E APARELHOS DE GEODÉSIA,
TOPOGRAFIA, AGRIMENSURA, NIVELAMENTO,
FOTOGRAMETRIA, HIDROGRAFIA, OCEANOGRAFIA,
HIDROLOGIA, METEOROLOGIA OU DE GEOFÍSICA,
EXCETO BÚSSOLAS; TELÊMETROS",10,10%
230,9016,"BALANÇAS SENSÍVEIS A PESOS IGUAIS OU
INFERIORES A 5cg, COM OU SEM PESOS",10,10%
