ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
,,"METÁLICOS, VIDRO, MATÉRIAS MINERAIS, BORRACHA
OU PLÁSTICOS",,
157,8483,"ÁRVORES (VEIOS) DE TRANSMISSÃO [INCLUÍDAS AS
ÁRVORES DE EXCÊNTRICOS (CAMES) E
VIRABREQUINS (CAMBOTAS)] E MANIVELAS; MANCAIS
(CHUMACEIRAS) E ""BRONZES""; ENGRENAGENS E
RODAS DE FRICÇÃO; EIXOS DE ESFERAS OU DE
ROLETES; REDUTORES, MULTIPLICADORES, CAIXAS
DE TRANSMISSÃO E VARIADORES DE VELOCIDADE,
INCLUÍDOS OS CONVERSORES DE TORQUE
(BINÁRIOS); VOLANTES E POLIAS, INCLUÍDAS AS
POLIAS PARA CADERNAIS; EMBREAGENS E
DISPOSITIVOS DE ACOPLAMENTO, INCLUÍDAS AS
JUNTAS DE ARTICULAÇÃO",,
158,8483.40,"Caixas de transmissão, redutores, multiplicadores e
variadores de velocidade, incluídos os conversores de
torque (binários)",10,10%
159,Capítulo 85,"MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS,
APARELHOS DE GRAVAÇÃO OU DE REPRODUÇÃO DE
SOM, APARELHOS DE GRAVAÇÃO OU DE
REPRODUÇÃO DE IMAGENS E DE SOM EM TELEVISÃO",,
160,8501,"MOTORES E GERADORES, ELÉTRICOS, EXCETO OS
GRUPOS ELETROGÊNEOS",10,10%
161,8502,"GRUPOS ELETROGÊNEOS E CONVERSORES
ROTATIVOS, ELÉTRICOS",10,10%
162,8504,"TRANSFORMADORES ELÉTRICOS, CONVERSORES
ELÉTRICOS ESTÁTICOS (RETIFICADORES, POR
EXEMPLO), BOBINAS DE REATÂNCIA E DE
AUTOINDUÇÃO",10,10%
163,8508,"FERRAMENTAS ELETROMECÂNICAS DE MOTOR
ELÉTRICO INCORPORADO, DE USO MANUAL",5,20%
164,8510,"APARELHOS OU MÁQUINAS DE TOSQUIAR DE MOTOR
ELÉTRICO INCORPORADO",5,20%
165,8514,"FORNOS ELÉTRICOS INDUSTRIAIS OU DE
LABORATÓRIO, INCLUÍDOS OS QUE FUNCIONAM POR
INDUÇÃO OU POR PERDAS DIELÉTRICAS; OUTROS
APARELHOS INDUSTRIAIS OU DE LABORATÓRIO PARA
TRATAMENTO TÉRMICO DE MATÉRIAS POR INDUÇÃO
OU POR PERDAS DIELÉTRICAS",10,10%
166,8515,"MÁQUINAS E APARELHOS PARA SOLDAR (MESMO DE
CORTE) ELÉTRICOS (INCLUÍDOS OS A GÁS AQUECIDO
ELETRICAMENTE), A ""LASER"" OU OUTROS FEIXES DE
LUZ OU DE FÓTONS, A ULTRA-SOM, A FEIXES DE
ELÉTRONS, A IMPULSOS MAGNÉTICOS OU A JATO DE
PLASMA; MÁQUINAS E APARELHOS ELÉTRICOS PARA
PROJEÇÃO A QUENTE DE METAIS OU DE CERAMAIS
(""CERMETS"")",10,10%
167,8516,"APARELHOS ELÉTRICOS PARA AQUECIMENTO DE
AMBIENTES, DO SOLO OU PARA USOS SEMELHANTES",10,10%
168,8517,"APARELHOS ELÉTRICOS PARA TELEFONIA OU
TELEGRAFIA, POR FIO, INCLUÍDOS OS APARELHOS
TELEFÔNICOS POR FIO CONJUGADO COM UM
APARELHO TELEFÔNICO PORTÁTIL SEM FIO E OS
APARELHOS DE TELECOMUNICAÇÃO POR CORRENTE
PORTADORA OU DE TELECOMUNICAÇÃO DIGITAL;
VIDEOFONES (Retificado no DOU de 13/04/2017, pág. 53)",5,20%
169,8520,GRAVADORES DE DADOS DE VOO,5,20%
170,8521,"APARELHOS VIDEOFÔNICOS DE GRAVAÇÃO OU DE
REPRODUÇÃO, MESMO INCORPORANDO UM
RECEPTOR DE SINAIS VIDEOFÔNICOS",,
171,8521.10,"Gravador-reprodutor de fita magnética, sem sintonizador",5,20%
172,8521.90,"Gravador-reprodutor e editor de imagem e som, em discos,
por meio magnético, óptico ou opto-magnético",5,20%
