ITEM,DESCRIÇÃO,NCM/SH
1,Pulverizadores portáteis para agricultura ou horticultura,8424.41.00
2,Outros pulverizadores para agricultura ou horticultura,8424.49.00
3,"Lagartas (esteiras) de potência no volante inferior a 387,76 kW (520 HP)",8429.11.90
4,"Niveladores, exceto motoniveladores articulados com potência no volante igual ou superior a
205,07 kW (275 HP)",8429.20.90
5,"Raspo-transportadores (scrapers), de uso agrícola",8429.30.00
6,Compactadores e rolos ou cilindros compressores,8429.40.00
7,"Carregadores e pás carregadoras, de carregamento frontal, de potência no volante inferior ou
igual a 43,99 kW (59 HP), exceto os carregadores-transportadores e as infraestruturas
motoras próprias para receber equipamentos do item 8430.69.1",8429.51.92
8,"Carregadores e pás carregadoras, de carregamento frontal, de potência no volante superior a
43,99 kW (59 HP) e inferior a 297,5 kW (399 HP), exceto os carregadores-transportadores e
as infraestruturas motoras próprias para receber equipamentos do item 8430.69.1",8429.51.99
9,"Escavadores de potência no volante inferior ou igual a 40,3 kW (54 HP)",8429.52.12
10,"Escavadores de potência no volante superior a 40,3 kW (54 HP) e inferior a 484,7 kW (650
HP)",8429.52.19
11,"Pás mecânicas, escavadores, carregadores e pás carregadoras, exceto carregadores e pás
carregadoras, de carregamento frontal, e máquinas cuja superestrutura é capaz de efetuar
uma rotação de 360°",8429.59.00
12,Arados e charruas,8432.10.00
13,Grades de discos,8432.21.00
14,"Semeadores-adubadores, de plantio direto",8432.31.10
15,"Outros semeadores, plantadores e transplantadores, de plantio direto",8432.31.90
16,"Semeadores-adubadores, exceto de plantio direto",8432.39.10
17,"Outros semeadores, plantadores e transplantadores, exceto de plantio direto",8432.39.90
18,Espalhadores de estrume,8432.41.00
19,Distribuidores de adubos (fertilizantes),8432.42.00
20,"Outras máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou
trabalho do solo ou para cultura",8432.80.00
21,"Ceifeiras, incluindo as barras de corte para montagem em tratores, com dispositivo de
acondicionamento em fileiras constituído por rotor de dedos e pente",8433.20.10
22,"Outras ceifeiras, incluindo as barras de corte para montagem em tratores, exceto com
dispositivo de acondicionamento em fileiras constituído por rotor de dedos e pente",8433.20.90
23,Outras máquinas e aparelhos para colher e dispor o feno,8433.30.00
24,"Enfardadeiras de palha ou de forragem, incluindo as enfardadeiras-apanhadeiras",8433.40.00
25,Colheitadeiras combinadas com debulhadoras (ceifeiras-debulhadoras),8433.51.00
26,Outras máquinas e aparelhos para debulha,8433.52.00
27,Máquinas para colheita de raízes ou tubérculos,8433.53.00
28,"Com capacidade para trabalhar até dois sulcos de colheita e potência no volante inferior ou
igual a 59,7 kW (80 HP)",8433.59.11
29,Outras máquinas e aparelhos para colheita,8433.59.90
30,Selecionadores de fruta,8433.60.10
31,"Máquinas para limpar ou selecionar ovos, com capacidade superior a 250.000 ovos por hora",8433.60.21
32,"Outras máquinas para limpar ou selecionar ovos, com capacidade inferior ou igual a 250.000
ovos por hora",8433.60.29
33,Outras máquinas para limpar frutas ou para limpar ou selecionar outros produtos agrícolas,8433.60.90
34,Máquinas de ordenhar,8434.10.00
35,"Máquinas e aparelhos para fabricação de vinho, sidra, sucos (sumos) de fruta ou bebidas
semelhantes",8435.10.00
