ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
173,8524,"DISCOS, FITAS E OUTROS SUPORTES GRAVADOS,
COM EXCLUSÃO DOS PRODUTOS DO CAPÍTULO 37",,
174,8524.3,"-Discos para sistemas de leitura por raio ""laser"":",3,"33,3%"
175,8524.40,"-Fitas magnéticas para reprodução de fenômenos
diferentes do som e da imagem",3,"33,3%"
176,8524.5,-Outras fitas magnéticas,3,"33,3%"
177,8524.60,-Cartões magnéticos,3,"33,3%"
178,8525,"APARELHOS TRANSMISSORES (EMISSORES) PARA
RADIOTELEFONIA, RADIOTELEGRAFIA,
RADIODIFUSÃO OU TELEVISÃO, MESMO
INCORPORANDO UM APARELHO DE RECEPÇÃO OU
UM APARELHO DE GRAVAÇÃO OU DE REPRODUÇÃO
DE SOM; CÂMERAS DE TELEVISÃO; CÂMERAS DE
VÍDEO DE IMAGENS FIXAS E OUTRAS CÂMERAS
(""CAMCORDERS"")",5,20%
179,8526,"APARELHOS DE RADIODETECÇÃO E DE
RADIOSSONDAGEM (RADAR), APARELHOS DE
RADIONAVEGAÇÃO E APARELHOS DE
RADIOTELECOMANDO",5,20%
180,8527,"APARELHOS RECEPTORES PARA RADIOTELEFONIA,
RADIOTELEGRAFIA OU RADIODIFUSÃO, EXCETO DE
USO DOMÉSTICO",5,20%
181,8531,"APARELHOS ELÉTRICOS DE SINALIZAÇÃO ACÚSTICA
OU VISUAL (POR EXEMPLO: CAMPAINHAS, SIRENAS,
QUADROS INDICADORES, APARELHOS DE ALARME
PARA PROTEÇÃO CONTRA ROUBO OU INCÊNDIO),
EXCETO OS DAS POSIÇÕES 8512 OU 8530",,
182,8531.20,"Painéis indicadores com dispositivos de cristais líquidos
(LCD) ou de diodos emissores de luz (LED), próprios para
anúncios publicitários",5,20%
183,8543,"MÁQUINAS E APARELHOS ELÉTRICOS COM FUNÇÃO
PRÓPRIA, NÃO ESPECIFICADOS NEM
COMPREENDIDOS EM OUTRAS POSIÇÕES DESTE
CAPÍTULO",10,10%
184,Capítulo 86,"VEÍCULOS E MATERIAL PARA VIAS FÉRREAS OU
SEMELHANTES, APARELHOS MECÂNICOS (INCLUÍDOS
OS ELETROMECÂNICOS) DE SINALIZAÇÃO PARA VIAS
DE COMUNICAÇÃO",,
185,8601,"LOCOMOTIVAS E LOCOTRATORES, DE FONTE
EXTERNA DE ELETRICIDADE OU DE ACUMULADORES
ELÉTRICOS",10,10%
186,8602,"OUTRAS LOCOMOTIVAS E LOCOTRATORES;
TÊNDERES",10,10%
187,8603,"LITORINAS (AUTOMOTORAS), MESMO PARA
CIRCULAÇÃO URBANA, EXCETO AS DA POSIÇÃO 8604",10,10%
188,8604,"VEÍCULOS PARA INSPEÇÃO E MANUTENÇÃO DE VIAS
FÉRREAS OU SEMELHANTES, MESMO
AUTOPROPULSORES (POR EXEMPLO: VAGÕES-
OFICINAS, VAGÕES-GUINDASTES, VAGÕES
EQUIPADOS COM BATEDORES DE BALASTRO,
ALINHADORES DE VIAS, VIATURAS PARA TESTES E
DRESINAS)",10,10%
189,8605,"VAGÕES DE PASSAGEIROS, FURGÕES PARA
BAGAGEM, VAGÕES-POSTAIS E OUTROS VAGÕES
ESPECIAIS, PARA VIAS FÉRREAS OU SEMELHANTES
(EXCLUÍDAS AS VIATURAS DA POSIÇÃO 8604)",10,10%
190,8606,"VAGÕES PARA TRANSPORTE DE MERCADORIAS
SOBRE VIAS FÉRREAS",10,10%
