ITEM,DESCRIÇÃO,NCM/SH
36,Máquinas e aparelhos para preparação de alimentos ou rações para animais,8436.10.00
37,Chocadeiras e criadeiras,8436.21.00
38,Partes de máquinas ou aparelhos para avicultura,8436.91.00
39,"Partes de máquinas e aparelhos para agricultura, horticultura, silvicultura ou apicultura,
incluindo as partes de germinadores equipados com dispositivos mecânicos ou térmicos",8436.99.00
40,"Máquinas para limpeza, seleção ou peneiração de grãos ou de produtos hortícolas secos",8437.10.00
41,Máquinas e parelhos para trituração ou moagem de grãos,8437.80.10
42,"Partes de máquinas para limpeza, seleção ou peneiração de grãos ou de produtos hortícolas
secos; partes de máquinas e aparelhos para a indústria de moagem ou tratamento de cereais
ou de produtos hortícolas secos, exceto do tipo utilizado em fazendas",8437.90.00
43,"Tratores de eixo único, incluindo motocultores",8701.10.00
44,Tratores de lagartas (esteiras),8701.30.00
45,"Outros tratores com uma potência de motor não superior a 18 kW, exceto tratores de eixo
único, tratores rodoviários para semirreboques e tratores de lagartas (esteiras)",8701.91.00
46,"Outros tratores com uma potência de motor superior a 18 kW, mas não superior a 37 kW,
exceto tratores de eixo único, tratores rodoviários para semirreboques e tratores de lagartas
(esteiras)",8701.92.00
47,"Outros tratores com uma potência de motor superior a 37 kW, mas não superior a 75 kW,
exceto tratores de eixo único, tratores rodoviários para semirreboques e tratores de lagartas
(esteiras)",8701.93.00
48,"Outros tratores agrícolas de rodas, com uma potência de motor superior a 75 kW, mas não
superior a 130 kW, exceto tratores de eixo único, tratores rodoviários para semirreboques,
tratores de lagartas (esteiras) e tratores especialmente concebidos para arrastar troncos (log
skidders)",8701.94.90
49,"Outros tratores agrícolas de rodas, com uma potência de motor superior a 130 kW, exceto
tratores de eixo único, tratores rodoviários para semirreboques, tratores de lagartas (esteiras)
e tratores especialmente concebidos para arrastar troncos (log skidders)",8701.95.90
50,"Reboques e semirreboques, autocarregáveis ou autodescarregáveis, para usos agrícolas",8716.20.00
