ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
,,"ESTACIONAMENTO, INSTALAÇÕES PORTUÁRIAS OU
PARA AERÓDROMOS",,
192,8609,"CONTEINERES (CONTENTORES), INCLUÍDOS OS DE
TRANSPORTE DE FLUIDOS, ESPECIALMENTE
CONCEBIDOS E EQUIPADOS PARA UM OU VÁRIOS
MEIOS DE TRANSPORTE",10,10%
193,Capítulo 87,"VEÍCULOS AUTOMÓVEIS, TRATORES, CICLOS E
OUTROS VEÍCULOS TERRESTRES",,
194,8701,"TRATORES (EXCETO OS CARROS-TRATORES DA
POSIÇÃO 8709)",4,25%
195,8702,"VEÍCULOS AUTOMÓVEIS PARA TRANSPORTE DE 10
PESSOAS OU MAIS, INCLUINDO O MOTORISTA",4,25%
196,8703,"AUTOMÓVEIS DE PASSAGEIROS E OUTROS
VEÍCULOS AUTOMÓVEIS PRINCIPALMENTE
CONCEBIDOS PARA TRANSPORTE DE PESSOAS
(EXCETO OS DA POSIÇÃO 8702), INCLUÍDOS OS
VEÍCULOS DE USO MISTO (""STATION WAGONS"") E OS
AUTOMÓVEIS DE CORRIDA",5,20%
197,8704,"VEÍCULOS AUTOMÓVEIS PARA TRANSPORTE DE
MERCADORIAS",4,25%
198,8705,"VEÍCULOS AUTOMÓVEIS PARA USOS ESPECIAIS (POR
EXEMPLO: AUTO-SOCORROS, CAMINHÕES-
GUINDASTES, VEÍCULOS DE COMBATE A INCÊNDIOS,
CAMINHÕESBETONEIRAS, VEÍCULOS PARA VARRER,
VEÍCULOS PARA ESPALHAR, VEÍCULOS-OFICINAS,
VEÍCULOS RADIOLÓGICOS), EXCETO OS
CONCEBIDOS PRINCIPALMENTE PARA TRANSPORTE
DE PESSOAS OU DE MERCADORIAS",4,25%
199,8709,"VEÍCULOS AUTOMÓVEIS SEM DISPOSITIVO DE
ELEVAÇÃO, DOS TIPOS UTILIZADOS EM FÁBRICAS,
ARMAZÉNS, PORTOS OU AEROPORTOS, PARA
TRANSPORTE DE MERCADORIAS A CURTAS
DISTÂNCIAS; CARROS-TRATORES DOS TIPOS
UTILIZADOS NAS ESTAÇÕES FERROVIÁRIAS",10,10%
200,8711,"MOTOCICLETAS (INCLUÍDOS OS CICLOMOTORES) E
OUTROS CICLOS EQUIPADOS COM MOTOR AUXILIAR,
MESMO COM CARRO LATERAL; CARROS LATERAIS",4,25%
201,8716,"REBOQUES E SEMI-REBOQUES, PARA QUAISQUER
VEÍCULOS; OUTROS VEÍCULOS NÃO
AUTOPROPULSORES",5,20%
202,Capítulo 88,AERONAVES E APARELHOS ESPACIAIS,,
203,8801,"BALÕES E DIRIGÍVEIS; PLANADORES, ASAS
VOADORAS E OUTROS VEÍCULOS AÉREOS, NÃO
CONCEBIDOS PARA PROPULSÃO COM MOTOR",10,10%
204,8802,"OUTROS VEÍCULOS AÉREOS (POR EXEMPLO:
HELICÓPTEROS, AVIÕES); VEÍCULOS ESPACIAIS
(INCLUÍDOS OS SATÉLITES) E SEUS VEÍCULOS DE
LANÇAMENTO, E VEÍCULOS SUBORBITAIS",10,10%
205,8804,"PÁRA-QUEDAS (INCLUÍDOS OS PÁRA-QUEDAS
DIRIGÍVEIS E OS PARAPENTES) E OS PÁRA-QUEDAS
GIRATÓRIOS",10,10%
206,8805,"APARELHOS E DISPOSITIVOS PARA LANÇAMENTO DE
VEÍCULOS AÉREOS; APARELHOS E DISPOSITIVOS
PARA ATERRISSAGEM DE VEÍCULOS AÉREOS EM
PORTA-AVIÕES E APARELHOS E DISPOSITIVOS
SEMELHANTES; APARELHOS SIMULADORES DE VOO
EM TERRA",10,10%
207,Capítulo 89,EMBARCAÇÕES E ESTRUTURAS FLUTUANTES,,
208,8901,"TRANSATLÂNTICOS, BARCOS DE CRUZEIRO, ""FERRY-
BOATS"", CARGUEIROS, CHATAS E EMBARCAÇÕES
SEMELHANTES, PARA O TRANSPORTE DE PESSOAS
OU DE MERCADORIAS",20,5%
