ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
50,8203,"LIMAS, GROSAS, ALICATES (MESMO CORTANTES),
TENAZES, PINÇAS, CISALHAS PARA METAIS, CORTA-
TUBOS, CORTAPINOS, SACA-BOCADOS E
FERRAMENTAS SEMELHANTES, MANUAIS",,
51,8203.20,"-Alicates (mesmo cortantes), tenazes, pinças e ferramentas
semelhantes",5,20 %
52,8203.30,-Cisalhas para metais e ferramentas semelhantes,5,20 %
53,8203.40,"-Corta-tubos, corta-pinos, saca-bocados e ferramentas
semelhantes",5,20 %
54,8204,"CHAVES DE PORCAS, MANUAIS (INCLUÍDAS AS
CHAVES DINAMOMÉTRICAS); CHAVES DE CAIXA
INTERCAMBIÁVEIS, MESMO COM CABOS",5,20 %
55,8205,"FERRAMENTAS MANUAIS (INCLUÍDOS OS CORTA-
VIDROS) NÃO ESPECIFICADAS NEM COMPREENDIDAS
EM OUTRAS POSIÇÕES, LAMPARINAS OU LÂMPADAS
DE SOLDAR (MAÇARICOS) E SEMELHANTES; TORNOS
DE APERTAR, SARGENTOS E SEMELHANTES, EXCETO
OS ACESSÓRIOS OU PARTES DE MÁQUINAS-
FERRAMENTAS; BIGORNAS; FORJASPORTÁTEIS; MÓS
COM ARMAÇÃO, MANUAIS OU DE PEDAL",5,20%
56,8206,"FERRAMENTAS DE PELO MENOS DUAS DAS
POSIÇÕES 8202 A 8205",5,20%
57,8207,"FERRAMENTAS INTERCAMBIÁVEIS PARA
FERRAMENTAS MANUAIS, MESMO MECÂNICAS, OU
PARA MÁQUINASFERRAMENTAS (POR EXEMPLO: DE
EMBUTIR, ESTAMPAR, PUNCIONAR, ROSCAR, FURAR,
MANDRILAR, BROCHAR, FRESAR, TORNEAR,
APARAFUSAR), INCLUÍDAS AS FIEIRAS DE ESTIRAGEM
OU DE EXTRUSÃO, PARA METAIS, E AS FERRAMENTAS
DE PERFURAÇÃO OU DE SONDAGEM",,
58,8207.30,"-Ferramentas de embutir, de estampar ou de puncionar",5,20%
59,8210,"APARELHOS MECÂNICOS DE ACIONAMENTO MANUAL,
PESANDO ATÉ 10kg, UTILIZADOS PARA PREPARAR,
ACONDICIONAR OU SERVIR ALIMENTOS OU BEBIDAS",10,10%
60,8214,MÁQUINAS DE TOSQUIAR,5,20%
61,Capítulo 83,OBRAS DIVERSAS DE METAIS COMUNS,,
62,8303,"COFRES-FORTES, PORTAS BLINDADAS E
COMPARTIMENTOS PARA CASAS-FORTES, COFRES E
CAIXAS DE SEGURANÇA E ARTEFATOS
SEMELHANTES, DE METAIS COMUNS",10,10%
63,8304,"CLASSIFICADORES, FICHÁRIOS (FICHEIROS*), CAIXAS
DE CLASSIFICAÇÃO, PORTA-CÓPIAS, PORTA-
CANETAS, PORTACARIMBOS E ARTEFATOS
SEMELHANTES, DE ESCRITÓRIO, DE METAIS
COMUNS, EXCLUÍDOS OS MÓVEIS DE ESCRITÓRIO DA
POSIÇÃO 9403",10,10%
64,Capítulo 84,"REATORES NUCLEARES, CALDEIRAS, MÁQUINAS,
APARELHOS E INSTRUMENTOS MECÂNICOS",,
65,8401,"REATORES NUCLEARES; ELEMENTOS COMBUSTÍVEIS
(CARTUCHOS) NÃO IRRADIADOS, PARA REATORES
NUCLEARES; MÁQUINAS E APARELHOS PARA A
SEPARAÇÃO DE ISÓTOPOS",10,10%
66,8402,"CALDEIRAS DE VAPOR (GERADORES DE VAPOR),
EXCLUÍDAS AS CALDEIRAS PARA AQUECIMENTO
CENTRAL CONCEBIDAS PARA PRODUÇÃO DE ÁGUA
QUENTE E VAPOR DE BAIXA PRESSÃO; CALDEIRAS
DENOMINADAS ""DE ÁGUA SUPERAQUECIDA""",10,10%
67,8403,"CALDEIRAS PARA AQUECIMENTO CENTRAL, EXCETO
AS DA POSIÇÃO 8402",10,10%
