ITEM,NCM/SH,TIPO DE ATIVIDADE*,DESCRIÇÃO COMERCIAL
44,7312,"Transferência; Armazenamento;
Regaseificação.",Cabos de aço para amarração — steel wire ropes.
45,7314,"Transferência; Movimentação;
Regaseificação.","Proteção mecânica em grade/tecido metálico de
arame (wire mesh, expanded metal) para linhas e
equipamentos."
46,7315,"Transferência; Armazenamento;
Regaseificação.","Correntes de ferro/aço para amarração — mooring
chains."
47,7315,"Transferência; Armazenamento;
Regaseificação.","Correntes de ferro/aço para amarração naval, tipo
mooring/anchor chains (stud-link ou sem travessa)."
48,7316,"Transferência; Armazenamento;
Regaseificação.",Âncoras de ferro/aço para amarração naval.
49,7318,"Transferência; Armazenamento;
Regaseificação.","Acessórios metálicos roscados de amarração e
conexão (tensores turnbuckles, parafusos-olhais)."
50,7318,Transferência.,"Fixador metálico (pino, parafuso, haste de travamento)
aplicado ao mecanismo do loading arm."
51,7320,Transferência.,"Mola de aço para mecanismo de garra/junta do loading
arm."
52,7326,"Transferência; Armazenamento;
Regaseificação.","Acessórios metálicos de amarração e conexão
(manilhas, olhais, giratórios swivels, terminais,
stoppers, fairleads/chocks, ganchos de liberação
rápida)."
53,7326,"Transferência; Movimentação;
Regaseificação.","Acessórios metálicos de ferro/aço não reconhecíveis
como conexão (tampas, caps, clamps, suportes)."
54,7326,"Transferência; Armazenamento;
Regaseificação.","Componentes metálicos simples para passarelas
(corrimãos, suportes, sapatas), não reconhecíveis
como estrutura/equipamento completos."
55,7326,Armazenamento; Regaseificação.,"Gabaritos/berços/suportes metálicos não específicos
de máquina-ferramenta, para montagem."
56,7326,Transferência.,"Haste/suporte metálico simples de ferro ou aço,
aplicada ao conjunto do loading arm."
57,7326,"Transferência; Movimentação;
Regaseificação.","Resguardo/guarda metálica em chapa
perfurada/carenagem para linhas e equipamentos."
58,7326,"Transferência; Movimentação;
Transporte; Regaseificação.","Suporte/bracket metálico simples de ferro ou aço (não
estruturado)."
59,7326,"Movimentação; Armazenamento;
Regaseificação.","Suporte/berço passivo de rolos para tubos (sem
acionamento)."
60,7326,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Suportes/berços metálicos destacáveis/portáteis para
balsas/botes (cavaletes, berços modulares,
clamps/abraçadeiras), sem características de estrutura
e sem fixação permanente."
61,7412,"Transferência; Movimentação;
Regaseificação.","Conexões de cobre/latão para tubulações (uniões,
tees, portas de serviço)."
62,7610,"Transferência; Movimentação;
Transporte; Regaseificação.","Estrutura pipe rack em alumínio, preparada para
montagem."
63,7610,Movimentação; Armazenamento.,"Estrutura do convés de helicóptero helideck em
alumínio, em módulos/partes preparados para
montagem (perfis extrudados, painéis, guarda-corpos,
grelhas e suportes)."
64,7610,"Transferência; Armazenamento;
Regaseificação.","Passarela de acesso gangway em alumínio (estrutura
metálica), sem sistemas motorizados."
65,8204,Armazenamento; Regaseificação.,Chave de torque (torque wrench) e acessórios.
66,8205,Armazenamento; Regaseificação.,"Ferramenta manual para expansão/rolagem de tubos
— tube expander/roller."
67,8205,Armazenamento; Regaseificação.,"Ferramentas manuais para montagem e manutenção
(chaves, extratores, alinhadores, saca-pinos)."
68,8207,Armazenamento; Regaseificação.,"Ferramentas intercambiáveis (interchangeable tools)
para ferramentas/máquinas (brocas, fresas, bits,
mandris)."
69,8207,Armazenamento; Regaseificação.,"Ferramentas intercambiáveis para expansão/rolagem
— mandrels, rolling heads."
70,8307,Transferência.,"Mangote criogênico para GNL, corrugado de aço inox
— corrugated."
71,8307,Armazenamento; Regaseificação.,"Mangueira de alta pressão corrugada de aço inox para
lavadora corrugated."
72,8311,Armazenamento; Regaseificação.,"Material para solda (eletrodos revestidos, varetas,
arames sólido/tubular welding electrodes/rods/wires)."
