ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
1,--------------,INSTALAÇÕES,10,10%
2,--------------,EDIFICAÇÕES,25,4%
3,Capítulo 01,ANIMAIS VIVOS,,
4,0101,"ANIMAIS VIVOS DAS ESPÉCIES CAVALAR, ASININA E
MUAR",5,20%
5,0102,ANIMAIS VIVOS DA ESPÉCIE BOVINA,5,20%
6,0103,ANIMAIS VIVOS DA ESPÉCIE SUÍNA,5,20%
7,0104,ANIMAIS VIVOS DAS ESPÉCIES OVINA E CAPRINA,5,20%
8,0105,"GALOS, GALINHAS, PATOS, GANSOS, PERUS, PERUAS
E GALINHAS-D'ANGOLA (PINTADAS), DAS ESPÉCIES
DOMÉSTICAS, VIVOS",2,50%
9,Capítulo 39,OBRAS DE PLÁSTICOS,,
10,3923,"ARTIGOS DE TRANSPORTE OU DE EMBALAGEM, DE
PLÁSTICOS",,
11,3923.10,"-Caixas, caixotes, engradados e artigos semelhantes",5,20%
12,3923.30,"-Garrafões, garrafas, frascos e artigos semelhantes",5,20%
13,3923.90,-Outros vasilhames,5,20%
14,3926,"OUTRAS OBRAS DE PLÁSTICOS E OBRAS DE OUTRAS
MATÉRIAS DAS POSIÇÕES 3901 A 3914",,
15,3926.90,Correias de transmissão e correias transportadoras,2,50%
16,3926.90,Artigos de laboratório ou de farmácia,5,20%
17,Capítulo 40,OBRAS DE BORRACHA,,
18,4010,"CORREIAS TRANSPORTADORAS OU DE
TRANSMISSÃO, DE BORRACHA VULCANIZADA",2,50%
19,Capítulo 42,OBRAS DE COURO,,
20,4204,Correias transportadoras ou correias de transmissão,2,50%
21,Capítulo 44,OBRAS DE MADEIRA,,
22,4415,"CAIXOTES, CAIXAS, ENGRADADOS, BARRICAS E
EMBALAGENS SEMELHANTES, DE MADEIRA;
CARRETÉIS PARA CABOS, DE MADEIRA; PALETES
SIMPLES, PALETES-CAIXAS E OUTROS ESTRADOS
PARA CARGA, DE MADEIRA; TAIPAIS DE PALETES, DE
MADEIRA",5,20%
23,4416,"BARRIS, CUBAS, BALSAS, DORNAS, SELHAS E
OUTRAS OBRAS DE TANOEIRO",5,20%
24,Capítulo 57,"TAPETES E OUTROS REVESTIMENTOS PARA
PAVIMENTOS, DE MATÉRIAS TÊXTEIS",5,20%
25,Capítulo 59,"TECIDOS IMPREGNADOS, REVESTIDOS,
RECOBERTOS OU ESTRATIFICADOS; ARTIGOS PARA
USOS TÉCNICOS DE MATÉRIAS TÊXTEIS",,
26,5910.00,"CORREIAS TRANSPORTADORAS OU DE
TRANSMISSÃO, DE MATÉRIAS TÊXTEIS, MESMO
IMPREGNADAS, REVESTIDAS OU RECOBERTAS, DE
PLÁSTICO, OU ESTRATIFICADAS COM PLÁSTICO OU
REFORÇADAS COM METAL OU COM OUTRAS
MATÉRIAS",2,50%
27,Capítulo 63,OUTROS ARTEFATOS TÊXTEIS CONFECCIONADOS,,
28,6303,"CORTINADOS, CORTINAS E ESTORES; SANEFAS E
ARTIGOS SEMELHANTES PARA CAMAS PARA USO EM
HOTÉIS E HOSPITAIS",5,20%
29,6305,"SACOS DE QUAISQUER DIMENSÕES, PARA
EMBALAGEM",5,20%
30,6306,"ENCERADOS E TOLDOS; TENDAS; VELAS PARA
EMBARCAÇÕES, PARA PRANCHAS À VELA OU PARA
CARROS À VELA; ARTIGOS PARA ACAMPAMENTO",4,25%
31,Capítulo 69,PRODUTOS CERÂMICOS,,
