ITEM,"REFERÊNCIA
NCM",BENS,"PRAZO
DE VIDA
ÚTIL
(ANOS)","TAXA ANUAL
DE
DEPRECIAÇÃO"
,,"BILHAS E OUTRAS VASILHAS PRÓPRIAS PARA
TRANSPORTE OU EMBALAGEM, DE CERÂMICA",,
33,Capítulo 70,OBRAS DE VIDRO,,
34,7010,"GARRAFÕES, GARRAFAS, FRASCOS, BOIÕES, VASOS,
EMBALAGENS TUBULARES, AMPOLAS E OUTROS
RECIPIENTES, DE VIDRO, PRÓPRIOS PARA
TRANSPORTE OU EMBALAGEM; BOIÕES DE VIDRO
PARA CONSERVA",5,20%
35,Capítulo 73,"OBRAS DE FERRO FUNDIDO, FERRO OU AÇO",,
36,7308,"CONSTRUÇÕES, DE FERRO FUNDIDO, FERRO OU
AÇO, EXCETO AS CONSTRUÇÕES PRÉ-FABRICADAS
DA POSIÇÃO 9406",,
37,7308.10,-Pontes e elementos de pontes,25,4%
38,7308.20,-Torres e pórticos,25,4%
39,7309,"RESERVATÓRIOS, TONÉIS, CUBAS E RECIPIENTES
SEMELHANTES PARA QUAISQUER MATÉRIAS
(EXCETO GASES COMPRIMIDOS OU LIQUEFEITOS),
DE FERRO FUNDIDO, FERRO OU AÇO, DE
CAPACIDADE SUPERIOR A 300 LITROS, SEM
DISPOSITIVOS MECÂNICOS OU TÉRMICOS, MESMO
COM REVESTIMENTO INTERIOR OU CALORÍFUGO",10,10%
40,7311,"RECIPIENTES PARA GASES COMPRIMIDOS OU
LIQUEFEITOS, DE FERRO FUNDIDO, FERRO OU AÇO",5,20%
41,7321,"AQUECEDORES DE AMBIENTES (FOGÕES DE SALA),
CALDEIRAS DE FORNALHA, FOGÕES DE COZINHA
(INCLUÍDOS OS QUE POSSAM SER UTILIZADOS
ACESSORIAMENTE NO AQUECIMENTO CENTRAL),
CHURRASQUEIRAS (GRELHADORES), BRASEIRAS,
FOGAREIROS A GÁS, AQUECEDORES DE PRATOS, E
APARELHOS NÃO ELÉTRICOS SEMELHANTES, DE USO
DOMÉSTICO, DE FERRO FUNDIDO, FERRO OU AÇO",10,10%
42,7322,"RADIADORES PARA AQUECIMENTO CENTRAL, NÃO
ELÉTRICOS, DE FERRO FUNDIDO, FERRO OU AÇO;
GERADORES E DISTRIBUIDORES DE AR QUENTE
(INCLUÍDOS OS DISTRIBUIDORES QUE POSSAM
TAMBÉM FUNCIONAR COMO DISTRIBUIDORES DE AR
FRIO OU CONDICIONADO), NÃO ELÉTRICOS,
MUNIDOS DE VENTILADOR OU FOLE COM MOTOR, DE
FERRO FUNDIDO, FERRO OU AÇO",10,10%
43,Capítulo 76,OBRAS DE ALUMÍNIO,,
44,7610,CONSTRUÇÕES DE ALUMÍNIO,25,4%
45,7611,"RESERVATÓRIOS, TONÉIS, CUBAS E RECIPIENTES
SEMELHANTES PARA QUAISQUER MATÉRIAS
(EXCETO GASES COMPRIMIDOS OU LIQUEFEITOS),
DE ALUMÍNIO, DE CAPACIDADE SUPERIOR A 300
LITROS, SEM DISPOSITIVOS MECÂNICOS OU
TÉRMICOS, MESMO COM REVESTIMENTO INTERIOR
OU CALORÍFUGO",10,10%
46,7613,"RECIPIENTES PARA GASES COMPRIMIDOS OU
LIQUEFEITOS, DE ALUMÍNIO",5,20%
47,Capítulo 82,FERRAMENTAS,,
48,8201,"PÁS, ALVIÕES, PICARETAS, ENXADAS, SACHOS,
FORCADOS E FORQUILHAS, ANCINHOS E
RASPADEIRAS; MACHADOS, PODÕES E
FERRAMENTAS SEMELHANTES COM GUME;
TESOURAS DE PODAR DE TODOS OS TIPOS; FOICES
E FOICINHAS, FACAS PARA FENO OU PARA PALHA,
TESOURAS PARA SEBES, CUNHAS E OUTRAS
FERRAMENTAS MANUAIS PARA AGRICULTURA,
HORTICULTURA OU SILVICULTURA",5,20%
49,8202,"SERRAS MANUAIS; FOLHAS DE SERRAS DE TODOS
OS TIPOS (INCLUÍDAS AS FRESAS-SERRAS E AS
FOLHAS NÃO DENTADAS PARA SERRAR)",5,20%
