ITEM,NCM/SH,DESCRIÇÃO COMERCIAL
140,9026,Instrumento de medição/controle de vazão/pressão de processo.
141,9027,Unidade/sistema de análise físico-química de fluidos e sólidos.
142,9030,Instrumento de medição de radiação e grandezas elétricas.
143,9031,Base de teste e transporte (parte reconhecível de equipamento de ensaio).
144,9031,Caixa de teste para calibração de ferramenta HRLT.
145,9031,Equipamento de pré-comissionamento/inspeção de dutos.
146,9031,Equipamento de teste de estanqueidade de poço.
147,9031,"Sistema de aquisição e monitoramento de integridade de poços, linhas, dutos e equipamentos
submarinos (multivariável)."
148,9031,Sistema de transferência de dados do poço para a superfície (instrumentação 9031).
149,9032,Controlador/regulador de processo (inclui posicionador de válvulas).
150,9032,Sensor/instrumento de monitoramento e controle automático (processo).
151,9406,Contêiner técnico instrumentado (análise/monitoramento/controle).
