ITEM,NCM/SH,DESCRIÇÃO COMERCIAL
1,2844,Fonte radioativa (para medição/marcação).
2,3917,"Tubo plástico flexível para condução de fluidos em sistemas submarinos (linha flexível e umbilical
para acionamento hidráulico e injeção química)."
3,3926,Restritor/enrijecedor de curvatura para dutos flexíveis e umbilicais (polímero).
4,4009,"Linha flexível para transporte de petróleo, gás ou água (borracha reforçada, meio submarino,
flowline/riser)."
5,4009,Mangote flutuante submarino de borracha
6,4016,Barreira mecânica anular/external casing packer (elemento elastomérico).
7,4016,Elemento de vedação para junta de compensação (borracha).
8,4016,Restritor/enrijecedor de curvatura para dutos flexíveis e umbilicais (borracha).
9,5607,Cabo de poliéster (trançado).
10,7304,"Tubo de aço sem costura para produção, injeção, revestimento, interligação e riser rígido (poços e
sistemas submarinos)."
11,7304,Tubo de lavagem (wash pipe) (sem costura).
12,7304,Tubo de perfuração drill pipe (sem costura).
13,7304,Tubo de produção (coluna de produção/COP) (sem costura).
14,7304,Tubo metálico (sem costura) (serviço de perfuração/intervenção).
15,7305,"Tubo de aço soldado, grande diâmetro, para oleodutos, gasodutos, produção, injeção e
interligações."
16,7305,"Tubo de perfuração drill pipe (soldado, grande diâmetro)."
17,7306,Tubo de aço soldado com tela/ranhuras para gravel pack.
18,7306,"Tubo de aço soldado para produção, injeção, coleta e interligações (sem tela/ranhuras)."
19,7306,Tubo de lavagem (wash pipe) (soldado).
20,7306,Tubo de perfuração drill pipe (soldado).
21,7306,Tubo de produção (coluna de produção/COP) (soldado).
22,7307,PLET — terminação de extremidade de duto com interfaces de acoplamento (de aço).
23,7307,Tubing seal receptacle (TSR) (encaixe de tubulação).
24,7307,Adaptador/acessório tubular de encaixe (para drill pipe riser).
