Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5,col6
,IRPJ,CSLL,CBS,CPP,ISS (*),IBS
"1ª
Faixa","4,00%","3,50%","15,60%","43,40%","23,45%","10,05%"
"2ª
Faixa","4,00%","3,50%","17,10%","43,40%","22,40%","9,60%"
"3ª
Faixa","4,00%","3,50%","16,60%","43,40%","22,75%","9,75%"
"4ª
Faixa","4,00%","3,50%","16,60%","43,40%","22,75%","9,75%"
"5ª
Faixa","4,00%","3,50%","15,60%","43,40%","23,45% (*)","10,05%"
"6ª
Faixa","35,00%","15,00%","19,50%","30,50%",,
"(*) O percentual efetivo máximo devido ao ISS será de 3,5%, transferindo-se a diferença, de forma proporcional, aos
tributos federais e IBS da mesma faixa de receita bruta anual. Sendo assim, na 5ª faixa, quando a alíquota efetiva for
superior a 14,92537% a repartição será:",,,,,,
,IRPJ,CSLL,CBS,CPP,ISS (*),IBS
"5ª
Faixa, com
alíquota
efetiva
superior a
14,92537%","(Alíquota
efetiva - 3,5%)
x 5,23%","(Alíquota
efetiva - 3,5%)
x 4,57%","(Alíquota
efetiva - 3,5%)
x 20,38%","(Alíquota
efetiva - 3,5%)
x 56,69%","Percentual
de ISS fixo em
3,5%","(Alíquota
efetiva - 3,5%)
x 13,13%"
