93,Substância para conservação de órgãos e tecidos,3824.99.89
94,Introdutor de punção para implante de eletrodo endocárdico,9021.90.91
95,Enxerto tubular de politetrafluoretileno - PTFE (por cm2),9021.90.99
96,Enxerto arterial e venoso tubular inorgânico,9021.90.99
97,Botão para crânio,9021.90.99
98,Guia metálico para introdução de cateter duplo lumen,9018.39.29
99,Dilatador para implante de cateter duplo lumen,9018.39.29
100,Guia de troca para angioplastia,9018.39.29
101,Introdutor para cateter com e sem válvula,9018.39.29
102,Kit cânula,9018.39.99
,,9018.39.91
103,Dreno para sucção,9018.39.29
104,Sistema de drenagem mediastinal,9018.39.29
105,Conjunto descartável de balão intra-aórtico,9018.90.99
