21,Serviços de fonoaudiologia,1.2301.99.00
22,Serviços de nutrição,1.2301.99.00
23,Serviços de optometria,1.2301.99.00
24,Serviços de instrumentação cirúrgica,1.2301.99.00
25,Serviços de biomedicina,1.2301.99.00
26,Serviços farmacêuticos,1.2301.99.00
27,Serviços de cuidado e assistência a idosos e pessoas com deficiência em unidades de acolhimento,1.2302
28,"Serviços domiciliares de apoio a pessoas adultas, idosas, crianças, adolescentes, pessoas com
transtornos mentais e com deficiências",1.2301.99.00
29,Serviços de esterilização,1.2301.99.0
30,"Serviços funerários, de cremação e de embalsamamento",1.2603.00.00
