ITEM,DESCRIÇÃO,NCM/SH
1,"Aparelhos de eletrodiagnóstico (incluídos os aparelhos de exploração funcional e os de verificação de parâmetros
fisiológicos)",
1.1,Eletrocardiógrafos,9018.11.00
1.2,Eletroencefalógrafos,9018.19.80
1.3,"Aparelhos de eletrodiagnóstico, exceto os produtos classificados nos códigos 9018.11.00, 9018.12.10, 9018.12.90,
9018.13.00, 9018.14.10, 9018.14.20, 9018.14.90, 9018.19.10 e 9018.19.20",9018.19.80
2,Aparelhos de raios ultravioleta ou infravermelhos,9018.20
3,Artigos e aparelhos ortopédicos,9021.10.10
4,Artigos e aparelhos para fraturas,9021.10.20
5,"Artigos e aparelhos de prótese, exceto os dentários e os produtos classificados nos códigos 9021.39.91 e 9021.39.99",9021.3
6,Tomógrafo computadorizado,9022.12.00
7,"Aparelhos de raio X, móveis, exceto os produtos classificados no código 9022.19.91",9022.13
,,9022.14
,,9022.19
8,Aparelho de radiocobalto (bomba de cobalto),9022.21.10
9,Aparelho de crioterapia,9018.90.99
10,Aparelho de gamaterapia,9022.21.20
11,"Aparelhos que utilizem radiações alfa, beta, gama ou outras radiações ionizantes, para usos médicos, cirúrgicos,
odontológicos ou veterinários, incluídos os aparelhos de radiofotografia ou de radioterapia, exceto os produtos
classificados nos códigos 9022.21.10 e 9022.21.20",9022.21.90
12,"Densímetros, areômetros, pesa-líquidos e instrumentos flutuantes semelhantes, termômetros, pirômetros, barômetros,
higrômetros e psicômetros, registradores ou não, mesmo combinados entre si",90.25
13,Respirador,9019.20.40
