41,Reprocessador de filtros utilizados em hemodiálise,8479.89.99
42,"Implantes osseointegráveis, na forma de parafuso, e seus componentes manufaturados, tais como tampas
de proteção, montadores, conjuntos, pilares (cicatrizador, conector, de transferência ou temporário),
cilindros, seus acessórios, destinados a sustentar, amparar, acoplar ou fixar próteses dentárias",9021.29.00
,,9021.10.10
,,9021.10.20
43,Cardiodesfibrilador implantável,9021.90.11
44,Espiral para embolização,9021.90.12
45,Imunoglobulina anti-Rh,3002.12.21
46,Outras imunoglobulinas séricas,3002.12.22
47,Concentrado de fator VIII,3002.12.23
48,"Outras frações do sangue, exceto as preparadas como medicamentos, as imunoglobulinas séricas, o
concentrado de fator VIII e a soroalbumina sob a forma de gel para preparação de reagentes de diagnóstico","3002.12.21
3002.12.29"
49,"Reagentes de diagnóstico ou de laboratório em qualquer suporte e reagentes de diagnóstico ou de
laboratório preparados, mesmo em um suporte, mesmo apresentados sob a forma de estojos, exceto os da
posição 30.06; materiais de referência certificados",3822.1
50,"Reagentes de diagnóstico concebidos para serem administrados ao paciente, à base de somatoliberina",3006.30.21
51,"Produtos para obturação dentária, exceto cimentos",3006.40.12
52,"Preparações em gel, concebidas para uso em medicina humana ou veterinária como lubrificante para
certas partes do corpo em intervenções cirúrgicas ou exames médicos ou como agente de ligação entre o
corpo e os instrumentos médicos",3006.70.00
53,"Bolsas para uso em colostomia, ileostomia e urostomia",3006.91.10
54,"Equipamentos identificáveis para ostomia, exceto bolsas para uso em colostomia, ileostomia e urostomia",3006.91.90
55,Bolsas para uso em medicina (hemodiálise e usos semelhantes),3926.90.30
56,Artigos exclusivamente de laboratório de análises clínicas,3926.90.40
57,"Acessórios de plástico do tipo utilizado em linhas de sangue para hemodiálise, tais como: obturadores,
incluídos os reguláveis (clamps), clipes e similares",3926.90.50
58,Luvas cirúrgicas e luvas de procedimento,4015.1
59,"Seringas, mesmo com agulhas",9018.31
60,Agulhas tubulares de metal e agulhas para suturas,9018.32
61,"Agulhas, exceto as de metal e as para suturas",9018.39.10
62,"Sondas, cateteres e cânulas, individualmente ou em conjunto",9018.39.2
63,Lancetas para vacinação e cautérios,9018.39.30
64,"Instrumentos semelhantes a seringas, a agulhas, a cateteres e a cânulas",9018.39.9
65,Brocas para odontologia,9018.49.1
66,Limas,9018.49.20
67,"Grampos e clipes, seus aplicadores e extratores",9018.90.95
68,"Outros instrumentos e aparelhos para medicina, cirurgia e odontologia, excluídas seringas e agulhas, das
posições 9018.31 e 9018.32",9018.39.99
,,9018.90.99
69,"Mesas de operação e para exames, camas hospitalares e de uso clínico",9402.90
70,Fotocoagulador a laser,9018.20.10
71,Bisturi elétrico,9018.90.21
72,Aparelho de anestesia com monitor multiparâmetros,9018.90.99
73,Autoclave,8419.81.10
74,Retinógrafo,9018.50.90
75,Meios de cultura,3821.00.00
76,Termocicladores utilizados em diagnóstico e na pesquisa científica,8419.89.99
77,Partes e peças de termocicladores,8419.90.40
78,Pipetadores laboratoriais para diagnóstico e pesquisa científica,8479.89.12
79,Cromatógrafo de fase líquida,9027.20.12
80,Sequenciadores automáticos de ADN mediante eletroforese capilar,9027.20.21
81,Aparelhos de eletroforese para diagnóstico e pesquisa científica,9027.20.29
82,Analisadores por espectrofotometria para diagnóstico e pesquisa científica,9027.30
83,Analisadores por fotometria para diagnóstico e pesquisa científica,9027.50.20
84,Citômetro de fluxo,9027.50.50
85,Analisadores por radiações ópticas para diagnóstico e pesquisa científica,9027.50.90
86,Outros analisadores para diagnóstico e pesquisa científica,9027.89.99
87,Espectrômetro de massa,9027.81.00
88,Outros analisadores para diagnóstico,9027.89.99
89,Micrótomo,9027.90.10
90,Partes e peças de equipamentos analisadores laboratoriais,9027.90.9
91,Preservativo,4014.10.00
92,Dispositivo intrauterino (DIU),9018.90.99
