ITEM,DESCRIÇÃO,NCM/SH
1,Bolsa para drenagem,3926.90.30
2,Sistema para drenagem com conjunto intermediário para medição contínua da diurese,9018.90.99
3,"Chapas e filmes para raios-X, sensibilizados em uma face",3701.10.10
4,Cimentos para reconstituição óssea,3006.40.20
5,Substitutos de enxerto ósseo,3004.90.99
6,Coletor para unidade de drenagem externa,3926.90.40
7,Conector completo com tampa,3917.40
8,Conector em Y,3917.40
9,Conjuntos de troca e concentrados polieletrolíticos para diálise,3004.90.99
10,Conjunto para autotransfusão,9018.90.10
11,Conjunto para hidrocefalia de baixo perfil,9021.90.19
12,Conjunto para hidrocefalia standard,9021.90.19
,,9021.90.80
13,Eletrodo endocárdico definitivo,9021.90.91
14,Eletrodo epicárdico definitivo,9021.90.91
15,Eletrodo para marcapasso temporário endocárdico,9021.90.91
16,Eletrodo para marcapasso temporário epicárdico,9021.90.91
17,Espaçador de tendão,9021.90.19
18,Filmes especiais para raios-X sensibilizados em ambas as faces,3702.10.20
19,Filmes especiais para raios-X sensibilizados em uma face,3702.10.10
20,Filtro de linha arterial e venoso,8421.29.90
21,Filtro de sangue arterial e venoso para recirculação,8421.29.90
22,Filtro para cardioplegia,8421.29.90
23,"Categutes esterilizados, materiais esterilizados semelhantes para suturas cirúrgicas (incluídos os fios
absorvíveis esterilizados para cirurgia ou odontologia) e adesivos esterilizados para tecidos orgânicos,
utilizados em cirurgia para fechar ferimentos; laminárias esterilizadas; hemostáticos absorvíveis
esterilizados para cirurgia ou odontologia; barreiras antiaderentes esterilizadas para cirurgia ou odontologia,
absorvíveis ou não",3006.10
24,Hemoconcentrador para circulação extracorpórea,9018.90.40
25,Hemodialisador capilar,8421.29.11
26,Marcapasso cardíaco câmara dupla,9021.50.00
27,Marcapasso cardíaco multiprogramável com telemetria,9021.50.00
28,Outras chapas e filmes para raios-X,3701.10.29
29,Oxigenador de bolha com tubos para circulação extracorpórea,9018.90.99
30,Oxigenador de membrana com tubos para circulação extracorpórea,9018.90.99
31,Reservatório de cardiotomia,9018.90.99
32,Reservatório para cardioplegia com tubo sem filtro,9018.90.99
33,Rins artificiais,9018.90.40
34,Shunt lombo-peritonal,9021.90.19
35,Substituto temporário de pele (biológica/sintética) (por cm2),3005.90.90
36,Tela inorgânica,3006.10.90
37,Válvula para hidrocefalia,9021.90.19
,,9021.90.89
38,Válvula para tratamento de ascite,9021.90.19
39,Fonte de irídio 192,2844.43.90
40,Stent vascular,9021.90.12
