8,"Ácido nítrico, ácido sulfúrico, ácido fosfórico, fosfatos de cálcio naturais, enxofre, ácido clorídrico, ácido
fosforoso, ácido acético, hidróxido de sódio e carbonato dissódico; todos destinados diretamente à
fabricação de fertilizantes","2503.00.10
2503.00.90
2510.10.10
2510.10.90
2510.20.10
2510.20.90
2802.00.00
2806.10.20
2807.00.10
2808.00.10
2809.20.11
2809.20.19
2811.19.20
2815.11.00
2815.12.00
2836.20.10
2836.20.90
2915.21.00"
9,Enzimas preparadas para decomposição de matéria orgânica animal e vegetal,3507.90.4
10,"Semente genética, semente básica, semente nativa in natura, semente certificada de primeira geração
(C1), semente certificada de segunda geração (C2), semente não certificada de primeira geração (S1),
semente não certificada de segunda geração (S2) e sementes de cultivar local, tradicional ou crioula;
em conformidade com as definições e demais requisitos da legislação específica","Capítulos 7, 10 e 12"
11,"Mudas de plantas e demais materiais propagativos de plantas e fungos, inclusive plantas e fungos
nativos de espécies florestais; em conformidade com as definições e demais requisitos da legislação
específica","06.01
06.02"
12,"Vacinas, soros e medicamentos, de uso veterinário, exceto de animais domésticos","3002.12
3002.15
3002.42
3002.90.00
30.04"
13,"Aves de um dia, exceto as ornamentais",0105.1
14,"Embriões e sêmen, congelado ou resfriado","0511.10.00
0511.9"
15,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico;
em conformidade com as definições e demais requisitos da legislação específica","01.02
01.03
01.04"
16,Ovos fertilizados,0407.1
17,Girinos e alevinos,0106.90.00
18,"Rações para animais, concentrados, suplementos, aditivos, premix ou núcleo, exceto para animais
domésticos",2309.90
19,"Sementes e cereais, mesmo triturados, em grãos esmagados ou trabalhados de outro modo; todos
destinados diretamente à fabricação de ração para animais ou diretamente à alimentação animal,
exceto de animais domésticos","Capítulos 10, 11 e 12"
20,"Farelos e tortas de produtos vegetais e demais resíduos e desperdícios das indústrias alimentares;
todos destinados diretamente à fabricação de ração para animais ou diretamente à alimentação animal,
exceto de animais domésticos","23.01
23.02
23.03
2304.00
2305.00.00
23.06
2308.00.00"
21,"Alho em pó, sal mineralizado, farinhas de peixe, de ostra, de carne, de osso, de pena, de sangue e de
víscera, calcário calcítico, gorduras e óleos animais, resíduos de óleo e de gordura de origem animal
ou vegetal descartados por empresas do ramo alimentício, e DL-Metionina e seus análogos; todos
destinados diretamente à fabricação de ração para animais ou diretamente à alimentação animal,
exceto de animais domésticos","02.10
03.09
0712.90.10
Capítulo 15
2501.00
2521.00.00
2930.40"
22,Serviços agronômicos,1.1410.90.00
23,"Serviços de técnico agrícola, agropecuário ou em agroecologia",1.1410.90.00
24,Serviços veterinários para produção animal,"1.1405.21.00
1.1405.22.00 1.1405.90.00"
25,Serviços de zootecnistas,1.1410.90.00
26,Serviços de inseminação e fertilização de animais de criação,1.1405.22.00
27,Serviços de engenharia florestal,1.1403.10.00
28,Serviços de pulverização e controle de pragas,1.1901.10.00
29,"Serviços de semeadura, adubação, inclusive mistura de adubos, reparação de solo, plantio e colheita",1.1901.10.00
30,Serviços de projetos para irrigação e fertirrigação,1.1403.29.00
31,"Serviços de análise laboratorial de solos, sementes e outros materiais propagativos, fitossanitários,
água de produção, bromatologia e sanidade animal",1.1404.41.00
32,Licenciamento de direitos sobre cultivares,1.1105.10.00
33,Cessão definitiva de direitos sobre cultivares,1.1109.10.00
34,"Melhoramento genético de animais e plantas e biotecnologia, inclusive seus royalties",
35,Vinhaça,"2303.30.00
2303.20.00"
