"0170-
9/00",Caça e serviços relacionados,1
"0210-
1/01",Cultivo de eucalipto,3
"0210-
1/02",Cultivo de acácia-negra,3
"0210-
1/03",Cultivo de pinus,3
"0210-
1/04",Cultivo de teca,3
"0210-
1/05","Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",2
"0210-
1/06",Cultivo de mudas em viveiros florestais,3
"0210-
1/07",Extração de madeira em florestas plantadas,3
"0210-
1/08",Produção de carvão vegetal - florestas plantadas,3
"0210-
1/09",Produção de casca de acácia-negra - florestas plantadas,2
"0210-
1/99","Produção de produtos não madeireiros não especificados anteriormente em
florestas plantadas",3
"0220-
9/01",Extração de madeira em florestas nativas,3
"0220-
9/02",Produção de carvão vegetal - florestas nativas,2
"0220-
9/03",Coleta de castanha-do-pará em florestas nativas,3
"0220-
9/04",Coleta de látex em florestas nativas,1
"0220-
9/05",Coleta de palmito em florestas nativas,3
"0220-
9/06",Conservação de florestas nativas,3
"0220-
9/99","Coleta de produtos não madeireiros não especificados anteriormente em florestas
nativas",3
"0230-
6/00",Atividades de apoio à produção florestal,3
"0311-
6/01",Pesca de peixes em água salgada,3
"0311-
6/02",Pesca de crustáceos e moluscos em água salgada,3
"0311-
6/03",Coleta de outros produtos marinhos,3
"0311-
6/04",Atividades de apoio à pesca em água salgada,2
"0312-
4/01",Pesca de peixes em água doce,2
"0312-
4/02",Pesca de crustáceos e moluscos em água doce,1
"0312-
4/03",Coleta de outros produtos aquáticos de água doce,1
"0312-
4/04",Atividades de apoio à pesca em água doce,2
"0321-
3/01",Criação de peixes em água salgada e salobra,2
"0321-
3/02",Criação de camarões em água salgada e salobra,2
"0321-
3/03",Criação de ostras e mexilhões em água salgada e salobra,3
"0321-
3/04",Criação de peixes ornamentais em água salgada e salobra,2
"0321-
3/05",Atividades de apoio à aquicultura em água salgada e salobra,2
